image_id,relative_path,filename,class_label,sha256,width,height,mode,file_size,split
PHYTO_RAW_0001,Dataset of groundnut plant leaf images for classification and detection/Raw_Data/early_leaf_spot/IMG_0325.JPG,IMG_0325.JPG,early_leaf_spot,0398db345d9b11c9cdf0de8408a71860d8093ca9524c3950814c0517c5c564ba,1200,800,RGB,300411,train
PHYTO_RAW_0002,Dataset of groundnut plant leaf images for classification and detection/Raw_Data/early_leaf_spot/IMG_0326.JPG,IMG_0326.JPG,early_leaf_spot,a54b31edbfd6972dead15888fa237b66518dadb0c1c1a36c647d273b502d6856,1200,800,RGB,292726,test
PHYTO_RAW_0003,Dataset of groundnut plant leaf images for classification and detection/Raw_Data/early_leaf_spot/IMG_0327.JPG,IMG_0327.JPG,early_leaf_spot,dd6a9f3eda7ad89d99da0e6be2261ca407b4b67e92fdcceed766d938ef024af1,1200,800,RGB,364346,train
PHYTO_RAW_0004,Dataset of groundnut plant leaf images for classification and detection/Raw_Data/early_leaf_spot/IMG_0328.JPG,IMG_0328.JPG,early_leaf_spot,926407a9ac9b8198d9818ba345caec7bda052b95e4a032083be666c212adeb6e,1200,800,RGB,284360,train
PHYTO_RAW_0005,Dataset of groundnut plant leaf images for classification and detection/Raw_Data/early_leaf_spot/IMG_0329.JPG,IMG_0329.JPG,early_leaf_spot,ff205009aac97fbe8791d0feaccafbf35cd137cc1d94fff806e9c28c7879cf9e,1200,800,RGB,284583,validation
PHYTO_RAW_0006,Dataset of groundnut plant leaf images for classification and detection/Raw_Data/early_leaf_spot/IMG_0330.JPG,IMG_0330.JPG,early_leaf_spot,875310c8369734d5bb251c3538d658dd3f67dcc7f3dd5e4f65ac6c7f453249f4,1200,800,RGB,300082,train
PHYTO_RAW_0007,Dataset of groundnut plant leaf images for classification and detection/Raw_Data/early_leaf_spot/IMG_0331.JPG,IMG_0331.JPG,early_leaf_spot,15cbde3558712a2ac685f7c1f97019411a10c0dd0995328c487652686d3fb8ad,1200,800,RGB,300912,train
PHYTO_RAW_0008,Dataset of groundnut plant leaf images for classification and detection/Raw_Data/early_leaf_spot/IMG_0332.JPG,IMG_0332.JPG,early_leaf_spot,8edba9feded471518e8baa7e62f49ca0b28eb4b0100e21e80aabc150ef5f68c0,1200,800,RGB,256227,train
PHYTO_RAW_0009,Dataset of groundnut plant leaf images for classification and detection/Raw_Data/early_leaf_spot/IMG_0333.JPG,IMG_0333.JPG,early_leaf_spot,e3588f5af6360c45121d2c6e927cd8162b29a3f742d927c5c1f9fc54f0a1f1e1,1200,800,RGB,253125,train
PHYTO_RAW_0010,Dataset of groundnut plant leaf images for classification and detection/Raw_Data/early_leaf_spot/IMG_0367.JPG,IMG_0367.JPG,early_leaf_spot,b4d1333d4f03e587b7a726d005a0dc350b5004776f8d8c135a50c3132a60bfd1,1200,800,RGB,290103,train
